CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
40634,ECE,102,A,3,Computing and Engineering,,TBA,Peter Andrew Jamieson (P),01/02-01/21,WEB
40635,ECE,205,A,4,Electric Circuit Analysis - I,MTWRF,10:50 am-12:00 pm,Donald R. Ucci (P),01/02-01/21,BEN 100
,,,,,,MTWRF,01:00 pm-03:05 pm,Donald R. Ucci,01/02-01/21,BEN 100
,,,,,,MTWRF,03:15 pm-05:25 pm,Sudhir Shrestha,01/02-01/21,GAR 149
41197,ECE,302,A,3,MATLAB¬ and Applications,,TBA,Qihou Zhou (P),01/02-01/21,TBA
40903,ECE,303,A,3,Computer-Aided Experimentation,MTWR,01:00 pm-03:00 pm,AKM Jahangir Alam Majumder (P),01/02-01/21,GAR 156
,,,,,,MTWR,03:10 pm-05:10 pm,AKM Jahangir Alam Majumder,01/02-01/21,GAR 141
41198,ECE,395,A,3,Undergraduate Research Project,,TBA,Qihou Zhou (P),01/02-01/21,TBA
41199,ECE,427,A,3,Radar Signal Processing,,TBA,Qihou Zhou (P),01/02-01/21,TBA
41200,ECE,527,A,3,Radar Signal Processing,,TBA,Qihou Zhou (P),01/02-01/21,TBA
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
41241,ENG,163,A,3,Literature And Travel,,TBA,Elisabeth D. Hodges (P); Kathleen N. Johnson,01/01-01/21,TBA
41307,ENG,199A,A,1,Humanities Research Methods,MTWR,10:00 am-12:00 pm,Pepper Stetler (P); Timothy D. Melley,01/09-01/19,BAC 250
40334,ENG,213,A,3,Writing for Media,,TBA,William E. Brewer (P),01/02-01/21,WEB
41278,ENG,224,A,3,Digital Writing and Rhetoric,,TBA,Phill Michael Alexander (P),01/02-01/21,WEB
41105,ENG,226,A,3,Intro/Creat Wrt:Sht Fctn&Poet,,TBA,Christopher F. Cheek (P),01/02-01/21,WEB
40718,ENG,310D,A,3,Writing in Italy,,TBA,Jason Richard Palmeri (P); Daniele Fioretti,01/02-01/21,TBA
40644,ENG,410X,A,3,Language; Culture; and DNA,,TBA,Vincent John Palozzi (P),01/02-01/21,WEB
41052,ENG,631,A,4,Writing Workshop,MTWRFSU,10:00 am-07:00 pm,Eric K. Goodman (P),01/14-01/21,BAC 337
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
41008,ESP,201,A,3,Intro: Entre/Business Models,,TBA,Brett Richard Smith (P),01/02-01/21,WEB
41220,ESP,201,B,3,Intro: Entre/Business Models,MTWRF,08:00 am-12:00 pm,Mark Sumner Lacker (P); Kim I. Suellau,12/20-02/04,TBA
41196,ESP,461,A,3,Entrepreneurial Consulting,,TBA,Jim Friedman (P),01/02-01/21,TBA
41221,ESP,461,B,3,Entrepreneurial Consulting,MTWRF,01:20 pm-05:00 pm,Mark Sumner Lacker (P); Kim I. Suellau,12/20-02/04,TBA
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
40241,IES,412,A,5,Tropical Ecosystems:Costa Rica,,TBA,R. Hays Cummins (P); Kevin Connor Armitage ; Donna Sue McCollum,12/28-02/04,TBA
40246,IES,512,A,5,Tropical Ecosystems:Costa Rica,,TBA,R. Hays Cummins (P); Kevin Connor Armitage ; Donna Sue McCollum,12/28-02/04,TBA
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
41138,FSW,142,A,3,Exploring Helping Professions,,TBA,Anne Roma (P),01/02-01/21,WEB
40538,FSW,221,A,3,Sexualities,,TBA,Ronald E. Bulanda (P),01/02-01/21,WEB
40748,FSW,261,A,3,Diverse Fam Across Life Cycle,,TBA,Sharon Lilah Custer (P),01/02-01/21,WEB
41140,FSW,418,A,3,Family Life Education Process,,TBA,Marie Elise Radina (P),01/02-01/21,WEB
41144,FSW,466,A,3,Adulthood and Aging,,TBA,Amy Restorick Roberts (P),01/02-01/21,WEB
40758,FSW,481,A,3,Adolescnt Development,,TBA,Anthony G. James (P),01/02-01/21,WEB
41046,FSW,481,B,3,Adolescnt Development,,TBA,Megan Kathleen Taylor Kuykendoll (P),01/02-01/21,WEB
41141,FSW,481,C,3,Adolescnt Development,,TBA,Karleah Harris (P),01/02-01/21,WEB
40935,FSW,491E,A,1,Trauma-informed Care,,TBA,Terri Spahr Nelson (P),01/02-01/21,WEB
40194,FSW,494,A,3,Internship w/Fam&Children,,TBA,Carolyn Theresa Slotten (P),01/02-01/21,TBA
41142,FSW,518,A,3,Family Life Education Process,,TBA,Marie Elise Radina (P),01/02-01/21,WEB
41145,FSW,566,A,3,Adulthood and Aging,,TBA,Amy Restorick Roberts (P),01/02-01/21,WEB
40759,FSW,581,A,3,Adolescent Development,,TBA,Anthony G. James (P),01/02-01/21,WEB
40936,FSW,591E,A,1,Trauma-informed Care,,TBA,Terri Spahr Nelson (P),01/02-01/21,WEB
40195,FSW,594,A,3,Internship w/Fam&Children,,TBA,Carolyn Theresa Slotten (P),01/02-01/21,TBA
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
40884,FST,201,A,3,Film History and Analysis,MTWRF,01:00 pm-05:00 pm,Bruce E. Drushel (P),01/02-01/21,WIH 130
40553,FST,206,A,3,Diversity&Culture in Amer Film,,TBA,Helen Louise Davis (P),01/02-01/21,WEB
41106,FST,206,B,3,Diversity&Culture in Amer Film,,TBA,Hugo Rios (P),01/02-01/21,WEB
40460,FST,299B,A,3,Italian Cinematic Contrasts,,TBA,Daniele Fioretti (P),01/02-01/21,TBA
,,,,,,,,,,
