CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
,,,,,,F,12:00 pm-01:50 pm,TBA,01/23-05/13,SHD 007
82189,AMS,278,D,4,Food Studies & Food Systems,TR,01:00 pm-02:20 pm,Marguerite S. Shaffer (P),01/23-05/13,SHD 200
,,,,,,F,02:00 pm-03:50 pm,TBA,01/23-05/13,SHD 007
80353,AMS,285,A,3,Intro to African American Mus,MW,01:00 pm-02:20 pm,Tammy L. Kernodle (P),01/23-05/13,CPA 114
65008,AMS,301,A,3,American Identities,TR,11:30 am-12:50 pm,Sandra Lee Garner (P),01/23-05/13,UPH 389
75759,AMS,304,A,3,History; Memory; Tradition,MW,01:00 pm-02:20 pm,Helen Diana Sheumaker (P),01/23-05/13,UPH 312
79844,AMS,305,A,3,American Icons,TR,01:00 pm-02:20 pm,Oana Godeanu-Kenworthy (P),01/23-05/13,UPH 226
81467,AMS,310,QA,3,Special Topics Amer Studies,MWF,11:30 am-12:25 pm,Allison Lynn Wanger (P),02/06-05/13,UPH 071
78671,AMS,315,A,3,Latin American Diaspora,MW,01:00 pm-02:20 pm,Hannah Kathryn Noel (P),01/23-05/13,UPH 258
79437,AMS,342,A,4,Religious Pluralsm Mod America,TR,08:30 am-09:50 am,TBA,01/23-05/13,UPH 209
81682,AMS,363,A,3,Early Amer Republic;1783-1815,MW,02:30 pm-03:50 pm,Lindsay Schakenbach Regele (P),01/23-05/13,UPH 258
81687,AMS,367,A,3,United States In The 1960's,MW,10:00 am-11:20 am,Marcus Anthony Allen (P),01/23-05/13,UPH 209
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
76000,ATH,135,UA,1,Film as Ethnography,T,04:00 pm-06:35 pm,Leighton C. Peterson (P),03/27-05/13,PSN 112
77594,ATH,145,A,3,Lost Cities/Ancient Civs,TR,11:30 am-12:50 pm,Jeb Joseph Card (P),01/23-05/13,UPH 002
76001,ATH,155,A,4,Introduction to Anthropology,MW,02:30 pm-04:20 pm,Clara JoAnn Scarry (P),01/23-05/13,UPH 275
80442,ATH,155,B,4,Introduction to Anthropology,WF,08:00 am-09:50 am,Clara JoAnn Scarry (P),01/23-05/13,UPH 297
76003,ATH,175,A,3,Peoples Of The World,MW,04:00 pm-05:15 pm,Summer J. Wood (P),01/23-05/13,UPH 297
76005,ATH,175,B,3,Peoples Of The World,WF,04:00 pm-05:15 pm,Noah Pleshet (P),01/23-05/13,BEN 207
76006,ATH,185,A,3,Cultural Diversity in the US,TR,11:30 am-12:50 pm,Summer J. Wood (P),01/23-05/13,UPH 275
82077,ATH,185,B,3,Cultural Diversity in the US,TR,11:30 am-12:50 pm,Yang Jiao (P),01/23-05/13,UPH 071
82080,ATH,185,C,3,Cultural Diversity in the US,TR,01:00 pm-02:20 pm,Yang Jiao (P),01/23-05/13,UPH 071
76011,ATH,212,A,4,Archaeological Theory/Methods,TR,10:00 am-11:20 am,Melissa S. Rosenzweig (P),01/23-05/13,UPH 071
,,,,,,T,01:00 pm-01:55 pm,TBA,01/23-05/13,UPH 180A
76012,ATH,212,B,4,Archaeological Theory/Methods,TR,10:00 am-11:20 am,Melissa S. Rosenzweig (P),01/23-05/13,UPH 071
,,,,,,R,01:00 pm-01:55 pm,TBA,01/23-05/13,UPH 180A
81371,ATH,231,A,4,Foundations of Cultural Anthro,TR,08:30 am-09:50 am,Summer J. Wood (P),01/23-05/13,UPH 180C
,,,,,,F,01:00 pm-01:55 pm,TBA,01/23-05/13,UPH 180C
81373,ATH,231,B,4,Foundations of Cultural Anthro,TR,08:30 am-09:50 am,Summer J. Wood (P),01/23-05/13,UPH 180C
,,,,,,F,02:30 pm-03:25 pm,TBA,01/23-05/13,UPH 180C
81669,ATH,254,A,3,Intro Russian & Eurasian Stds,TR,01:00 pm-02:20 pm,Stephen Michael Norris (P),01/23-05/13,UPH 255
81670,ATH,254H,A,3,Intro Russian & Eurasian Stds,TR,01:00 pm-02:20 pm,Stephen Michael Norris (P),01/23-05/13,UPH 255
76069,ATH,265,A,4,Intro to Ling Anth,MW,08:30 am-09:50 am,James S. Bielo (P),01/23-05/13,UPH 180C
,,,,,,F,10:00 am-10:55 am,TBA,01/23-05/13,UPH 180C
76070,ATH,265,B,4,Intro to Ling Anth,MW,08:30 am-09:50 am,James S. Bielo (P),01/23-05/13,UPH 180C
,,,,,,F,11:30 am-12:25 pm,TBA,01/23-05/13,UPH 180C
76245,ATH,301,A,3,Intercultural Relations,TR,08:30 am-09:50 am,Yang Jiao (P),01/23-05/13,UPH 258
76246,ATH,301,B,3,Intercultural Relations,MW,10:00 am-11:20 am,Tani Helen Sebro (P),01/23-05/13,UPH 163
81376,ATH,307,A,3,Middle East/Anthro Perspects,MW,10:00 am-11:20 am,Homayun Sidky (P),01/23-05/13,UPH 071
76854,ATH,309,A,4,Introduction To Linguistics,TR,08:00 am-09:50 am,Juhi Kim (P),01/23-05/13,BAC 245
76839,ATH,309,B,4,Introduction To Linguistics,MWF,02:30 pm-03:45 pm,Galina Shleykina (P),01/23-05/13,BAC 055
76843,ATH,309,C,4,Introduction To Linguistics,MW,04:00 pm-05:50 pm,Karim Hesham Shaker Ibrahim (P),01/23-05/13,IRV 142
81270,ATH,309,D,4,Introduction To Linguistics,TR,04:00 pm-05:50 pm,John M. Jeep (P),01/23-05/13,IRV 002
81381,ATH,345,A,3,Global Media/Ethnography/Film,MW,10:00 am-11:20 am,Leighton C. Peterson (P),01/23-05/13,UPH 180C
81382,ATH,355,A,3,Paleoanthropology,TR,01:00 pm-02:20 pm,Linda F. Marchant (P),01/23-05/13,UPH 180B
81383,ATH,358,A,3,Travelers; Migrants & Refugees,MW,11:30 am-12:50 pm,James S. Bielo (P),01/23-05/13,UPH 180C
79283,ATH,388,A,3,Culture; Art and Artifacts,TR,02:30 pm-03:50 pm,Jeb Joseph Card (P),01/23-05/13,UPH 180A
79284,ATH,395,A,3,Primate Biology and Behavior,TR,10:00 am-11:20 am,Linda F. Marchant (P),01/23-05/13,UPH 180B
81384,ATH,403,A,3,Anthropology of Religion,MW,01:00 pm-02:20 pm,Homayun Sidky (P),01/23-05/13,UPH 071
77602,ATH,448,A,3,Global Health,MW,01:00 pm-02:20 pm,M. Cameron Hay-Rollins (P),01/23-05/13,UPH 180C
81388,ATH,498,A,3,Evolution Of Human Behavior,WF,11:30 am-12:50 pm,Clara JoAnn Scarry (P),01/23-05/13,UPH 180B
81389,ATH,503,A,3,Anthropology of Religion,MW,01:00 pm-02:20 pm,Homayun Sidky (P),01/23-05/13,UPH 071
82157,ATH,598,A,3,Evolution Of Human Behavior,WF,11:30 am-12:50 pm,Clara JoAnn Scarry (P),01/23-05/13,UPH 180B
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
79395,ARB,102,A,4,Elementary Arabic II,MWF,10:00 am-11:15 am,Saleh Issa Yousef (P),01/23-05/13,MCG 122
61100,ARB,102,B,4,Elementary Arabic II,MWF,11:30 am-12:45 pm,Saeda Nader Abu-Attiyeh (P),01/23-05/13,IRV 034
77581,ARB,102,C,4,Elementary Arabic II,MWF,02:30 pm-03:45 pm,Saeda Nader Abu-Attiyeh (P),01/23-05/13,IRV 034
70266,ARB,202,A,3,Intermediate Modern Arabic,MWF,11:30 am-12:25 pm,Saleh Issa Yousef (P),01/23-05/13,MCG 215
81491,ARB,202,B,3,Intermediate Modern Arabic,MWF,01:00 pm-01:55 pm,Saleh Issa Yousef (P),01/23-05/13,IRV 126
67199,ARB,302,A,3,Advanced Arabic,MWF,01:00 pm-01:55 pm,Elizabeth M. Bergman (P),01/23-05/13,IRV 238
74943,ARB,311,A,3,Media Arabic,MWF,08:30 am-09:25 am,Elizabeth M. Bergman (P),01/23-05/13,IRV 024
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
81883,ARC,102,A,5,Beginning Design Studio,MWF,01:30 pm-04:30 pm,Christie L. Lear (P); John David Becker ; Gulen Cevik ; John M. Humphries,01/23-05/13,ALU 203
82263,ARC,105,A,3,Introduction To Architecture,TR,04:00 pm-06:40 pm,Christie L. Lear (P),01/23-05/13,ALU 003
81885,ARC,114,A,2,Graphic Media II,TR,01:00 pm-02:50 pm,John M. Humphries (P),01/23-05/13,ALU 203
81887,ARC,114,B,2,Graphic Media II,TR,03:00 pm-04:50 pm,John M. Humphries (P),01/23-05/13,ALU 001
20204,ARC,188,A,3,Ideas In Architecture,MWF,11:30 am-12:25 pm,John A. Blake (P); Stanley Overton,01/23-05/13,LWS 100
81888,ARC,202,A,5,Architecture Studio,MWF,01:30 pm-04:30 pm,Thomas A. Dutton (P); J. E. Elliott,01/23-05/13,ALU 109
81889,ARC,202H,A,5,Architecture Studio,MWF,01:30 pm-04:30 pm,Thomas A. Dutton (P); J. E. Elliott,01/23-05/13,ALU 109
81892,ARC,204,A,5,Interior Design Studio,MWF,01:30 pm-04:30 pm,Katherine S. Setser (P),01/23-05/13,ALU 109
81894,ARC,204H,A,5,Interior Design Studio,MWF,01:30 pm-04:30 pm,Katherine S. Setser (P),01/23-05/13,ALU 109
20207,ARC,211,A,3,Intro:Landscape & Urban Design,MWF,10:00 am-10:55 am,John M. Reynolds (P),01/23-05/13,ALU 001
81897,ARC,214,A,2,Graphic Media IV,TR,01:00 pm-02:50 pm,Kenny Alan Levick (P),01/23-05/13,ALU 109
81898,ARC,214,B,2,Graphic Media IV,TR,03:00 pm-04:50 pm,Kenny Alan Levick (P),01/23-05/13,ALU 109
20208,ARC,222,A,3,History of Architecture II,MWF,08:30 am-09:25 am,Sergio L. Sanabria (P),01/23-05/13,ART 100
73483,ARC,222H,A,3,History of Architecture II,MWF,08:30 am-09:25 am,Sergio L. Sanabria (P),01/23-05/13,ART 100
81855,ARC,301,A,6,Architecture Studio,MWF,01:30 pm-05:05 pm,John A. Blake (P); Diane Fellows ; Bennett M. Jacks ; Murali Paranandi ; Sergio L. Sanabria,01/23-05/13,ALU 200
81859,ARC,302,A,6,Architecture Studio,MWF,01:30 pm-05:05 pm,John A. Blake (P); Diane Fellows ; Bennett M. Jacks ; Murali Paranandi ; Sergio L. Sanabria,01/23-05/13,ALU 001
81864,ARC,304,A,6,Interior Design Studio,MWF,01:30 pm-05:05 pm,Ann Weigand (P),01/23-05/13,ALU 104
81865,ARC,309,A,3,Furniture Design & Constructn,TR,09:30 am-12:20 pm,Gulen Cevik (P),01/23-05/13,ALU 010
